Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
Wildcat (Frontier City),Other,,National Amusement Devices,1991,,,Wood,,46.0,,0,,2000000.0
Phoenix (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,1985,40.8783,-76.5064,Wood,1985-06-15,45.0,,0,,1500000.0
The New Revolution (roller coaster),Six Flags Magic Mountain,Operating,Anton Schwarzkopf,1976,34.4228,-118.5964,Steel,1976-05-08,55.0,,1,4.9,2000000.0
Fahrenheit (roller coaster),Hersheypark,Operating,Intamin,2008,40.291,-76.6552,Steel,2008-05-24,58.0,,6,,12100000.0
The Great Nor'easter,Morey's Piers,Operating,Vekoma,1995,38.9893,-74.8023,Steel,1995-05-26,55.0,,5,,5500000.0
Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,,25000000.0
Typhoon (Bobbejaanland),Bobbejaanland,Operating,Gerstlauer,2004,51.1997,4.9055,Steel,2004-04-10,49.7,84.3,4,5.0,5000000.0
ArieForce One,Fun Spot America Atlanta,Under construction,Rocky Mountain Construction,2022,,,Steel,2022-01-01,64.0,,4,3.75,13000000.0
Abyss (roller coaster),Adventure World,Operating,Gerstlauer,2013,-32.0955,115.817,Steel,2013-11-01,52.8,98.4,3,4.5,12000000.0
Maverick (roller coaster),Cedar Point,Operating,Intamin,2007,41.4852,-82.6925,Steel,2007-05-26,70.0,,2,,21000000.0
Steel Lasso,Frontier City,Operating,Chance Morgan,2008,35.5838,-97.4405,Steel,2008-07-18,30.0,48.9,0,2.2,4000000.0
White Lightning (roller coaster),Fun Spot America,Operating,Great Coasters International,2013,28.4662,-81.4564,Wood,2013-06-07,44.3,,0,,3500000.0
Mystic Timbers,Kings Island,Operating,Great Coasters International,2017,,,Wood,2017-04-15,53.0,,0,,15000000.0
Gemini (roller coaster),Other,Operating,Arrow Dynamics,1978,41.4863,-82.6897,Steel,1978-06-17,60.0,,0,,3400000.0
Hagrid's Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,Operating,Intamin,2019,28.4298,-81.5859,Steel,2019-06-13,50.0,,0,,300000000.0
WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,2004,43.234,-77.5429,Steel,2004-01-01,37.3,,0,,2000000.0
Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,,,Steel,2016-06-13,73.0,,0,3.5,22000000.0
The Smiler,Alton Towers,Operating,Gerstlauer,2013,52.9872,-1.8953,Steel,2013-05-31,52.8,,14,4.8,18000000.0
Ednör – L'Attaque,Other,,Vekoma,2010,,,Steel,,49.7,,5,3.1,10000000.0
Mad Mouse (Pavilion),Myrtle Beach Pavilion,Removed,Arrow Dynamics,1998,33.6929,-78.8824,Steel,1998-06-13,25.0,,0,,2000000.0
Mystery Mine,Dollywood,Operating,Gerstlauer,2007,35.7956,-83.5301,Steel,2007-04-13,43.5,,2,,17500000.0
Outlaw (roller coaster),Adventureland (Iowa),Operating,Custom Coasters International,1993,41.6491,-93.5006,Wood,1993-04-24,48.0,,0,3.2,2000000.0
Wild Thing (Valleyfair),Valleyfair,Operating,D. H. Morgan Manufacturing,1996,44.7986,-93.4587,Steel,1996-05-11,75.0,,0,4.1,9500000.0
Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,35.1055,-80.9425,Steel,2015-03-28,95.0,,0,,30000000.0
De Vliegende Hollander,Efteling,Operating,Kumbak,2007,51.648,5.0474,Steel,2007-04-01,42.9,59.1,0,2.0,20000000.0
Alpengeist,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1997,37.2328,-76.6476,Steel,1997-03-22,67.0,,6,3.7,20000000.0
Iron Dragon (roller coaster),Cedar Point,Operating,Arrow Dynamics,1987,41.4822,-82.6852,Steel,1987-06-11,40.0,,0,,4000000.0
Thirteen (roller coaster),Alton Towers,Operating,Intamin,2010,52.9847,-1.8904,Steel,2010-03-20,42.0,,0,3.2,15000000.0
Wicked (roller coaster),Lagoon Amusement Park,Operating,Zierer,2007,40.9839,-111.8956,Steel,2007-06-01,55.0,,1,4.8,10000000.0
Lightning Racer,Other,Operating,Great Coasters International,2000,40.2929,-76.6532,Wood,2000-05-13,51.0,,0,3.6,12500000.0
The Flying Dinosaur,Universal Studios Japan,Operating,Bolliger & Mabillard,2016,34.6634,135.4305,Steel,2016-03-18,62.0,,5,,10000000000.0
Millennium Roller Coaster,Fantasy Island,Operating,Vekoma,1999,53.192,0.347,Steel,1999-05-22,56.0,,3,,15000000.0
Maxx Force,Six Flags Great America,Operating,S&S - Sansei Technologies,2019,,,Steel,2019-07-04,78.0,,5,4.5,15000000.0
Vuoristorata,Linnanmäki,Operating,"Linnanmäki, led by Svend Jarlström",1951,60.1886,24.9417,Wood,1951-07-13,37.3,78.7,0,,48000000.0
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2005,40.581,-75.5325,Steel,2005-05-07,53.0,,7,,13000000.0
Judge Roy Scream,Six Flags Over Texas,Operating,William Cobb & Associates,1980,32.7554,-97.0673,Wood,1980-03-01,45.0,,0,4.0,2100000.0
King Cobra (roller coaster),Kings Island,Removed,TOGO,1984,39.345,-84.2659,Steel,1984-04-22,50.0,,1,,3000000.0
Pégase Express,Parc Astérix,Operating,Gerstlauer,2017,49.1336,2.5737,Steel,2017-06-11,32.3,,0,,16000000.0
Raging Bull (roller coaster),Six Flags Great America,Operating,Bolliger & Mabillard,1999,42.3658,-87.9371,Steel,1999-05-01,73.0,,0,,25000000.0
Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,Removed,Arrow Dynamics,1984,37.2335,-76.6449,Steel,1984-06-15,48.0,,0,4.0,6000000.0
Roller Skater (roller coaster),Kentucky Kingdom,Operating,Vekoma,1994,38.1967,-85.7476,Steel,1994-04-15,21.7,,0,,1200000.0
Ravine Flyer II,Waldameer Park,Operating,The Gravity Group,2008,42.1093,-80.157,Wood,2008-05-17,60.0,,0,3.5,6000000.0
Boulder Dash (roller coaster),Lake Compounce,Operating,Custom Coasters International,2000,41.6392,-72.9245,Wood,2000-05-21,60.0,,0,,6000000.0
Orkanen,Fårup Sommarland,Operating,Vekoma,2013,57.27,9.6453,Steel,2013-06-05,46.6,,0,3.0,35000000.0
Mine Blower,Fun Spot America (Kissimmee),Operating,The Gravity Group,2017,,,Wood,2017-06-23,48.5,,1,,6000000.0
Dæmonen,Tivoli Gardens,Operating,Bolliger & Mabillard,2004,55.6728,12.5703,Steel,2004-04-16,47.8,91.9,3,4.0,75000000.0
Saw – The Ride,Thorpe Park,Operating,Gerstlauer,2009,51.4026,-0.5119,Steel,2009-03-14,55.0,,3,,13500000.0
Dawson Duel (roller coaster),Other,Operating,Wiegand,2017,50.8483,2.9475,Steel,2017-05-05,24.9,,0,,4000000.0
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,40.1392,-74.4365,Steel,2005-05-21,128.0,,0,,25000000.0
Krampus Expédition,Nigloland,Operating,Mack Rides,2021,-48.2617,4.6142,Steel,2021-06-12,49.0,,0,3.5,12000000.0
Spinball Whizzer,Alton Towers,Operating,Maurer AG,2004,52.9889,-1.8946,Steel,2004-03-27,37.3,55.8,0,,3500000.0
Oblivion (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,1998,52.9866,-1.8965,Steel,1998-03-14,68.4,65.0,0,4.5,12000000.0
Mindbender (Galaxyland),Galaxyland,closed for maintenance as of july 30 no reopening date known,Anton Schwarzkopf,1985,53.5236,-113.6203,Steel,1985-12-20,60.0,145.0,3,5.2,6000000.0
Phantom's Revenge,Kennywood,Operating,D. H. Morgan Manufacturing,2001,40.389,-79.866,Steel,1991-05-10,85.0,,0,3.5,4600000.0
Raging Wolf Bobs,Geauga Lake,Removed,Dinn Corporation,1988,41.3525,-81.3722,Wood,1988-05-28,50.0,,0,,2500000.0
Tower of Terror II,Dreamworld,Removed,Intamin,1997,-27.8641,153.3174,Steel,1997-01-23,100.0,377.3,0,4.5,16000000.0
Thunder Road (roller coaster),Other,Removed,Philadelphia Toboggan Coasters,1976,35.1004,-80.9426,Wood,1976-04-03,58.0,,0,3.4,1600000.0
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Arrow Dynamics,1990,34.4208,-118.5953,Steel,1990-04-07,70.0,,7,4.1,8000000.0
Wakala (roller coaster),Bellewaerde,Operating,Gerstlauer,2020,50.849,2.9475,Steel,2020-07-01,31.1,,0,,7500000.0
Lech Coaster,Legendia,Operating,Vekoma,2017,,,Steel,2017-07-01,59.0,131.2,3,,12000000.0
The Riddler's Revenge,Six Flags Magic Mountain,Operating,Bolliger & Mabillard,1998,34.4245,-118.6006,Steel,1998-04-04,65.0,,6,4.2,14000000.0
The Ride to Happiness,Plopsaland De Panne,Operating,Mack Rides,2021,51.081,2.5989,Steel,2021-07-01,55.9,,6,,17500000.0
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Bolliger & Mabillard,2000,38.1406,-122.2336,Steel,2000-03-18,65.0,,7,4.5,15000000.0
Runaway Tram,Morey's Piers,Operating,Zierer,2019,38.9894,-74.8034,Steel,2019-08-09,28.6,,0,,4000000.0
X-Coaster,Magic Springs and Crystal Falls,Operating,Maurer AG,2006,34.5179,-93.0151,Steel,2006-05-27,65.0,,0,,4000000.0
New Mexico Rattler,Cliff's Amusement Park,Operating,,2002,35.143,-106.5884,Wood,2002-09-28,47.0,,0,,2000000.0
Eejanaika (roller coaster),Fuji-Q Highland,Operating,S&S Arrow,2006,35.4884,138.7808,Steel,2006-07-19,78.3,,3,,3500000000.0
Steel Force,Dorney Park & Wildwater Kingdom,Operating,D. H. Morgan Manufacturing,1997,40.5789,-75.5381,Steel,1997-05-30,75.0,,0,3.4,10000000.0
Timber Drop,Fraispertuis City,Operating,S&S – Sansei Technologies,2011,48.3242,6.7295,Steel,2011-07-12,41.0,96.0,2,,3000000.0
Expedition Everest,Disney's Animal Kingdom,Operating,Vekoma,2006,,,Other,2006-04-07,50.0,,0,3.0,100000000.0
Knightmare (Camelot),Other,Removed,Zierer,1987,,,Other,,40.0,,0,5.0,3000000.0
Leviathan (Sea World),Sea World,Under construction,Martin & Vleminckx,2022,-27.9574,153.4263,Wood,2022-01-01,49.7,105.0,0,,20000000.0
Krake,Heide Park,Operating,Bolliger & Mabillard,2011,53.0247,9.879,Steel,2011-04-16,64.0,134.5,1,,12000000.0
The Cú Chulainn Coaster,Tayto Park,Operating,The Gravity Group,2015,53.5427,-6.4628,Wood,2015-06-06,55.9,105.0,0,,8500000.0
Behemoth (roller coaster),Canada's Wonderland,Operating,Bolliger & Mabillard,2008,43.839,-79.5406,Steel,2008-05-04,77.1,229.7,0,4.5,26000000.0
Vonkaputous,Linnanmäki,Removed,Premier Rides,2001,60.1883,24.9381,Steel,2001-05-12,37.3,,0,2.5,22000000.0
Arthur – The Ride,Europa-Park,Operating,Mack Rides,2014,48.2639,7.7237,Steel,2014-06-01,19.3,44.3,0,,25000000.0
X2 (roller coaster),Six Flags Magic Mountain,Operating,Arrow Dynamics,2002,34.421,-118.5929,Steel,2002-01-12,76.0,,2,4.0,45000000.0
Shockwave (Kings Dominion),Kings Dominion,Removed,TOGO,1986,37.8386,-77.4447,Steel,1986-03-23,50.0,,1,,4000000.0
Timber Wolf (roller coaster),Worlds of Fun,Operating,Dinn Corporation,1989,39.1728,-94.4892,Wood,1989-04-01,53.0,,0,,3000000.0
Spinning Dragons,Worlds of Fun,Operating,Gerstlauer,2004,39.1754,-94.4879,Steel,2004-04-17,31.0,,0,,4000000.0
Python (Efteling),Efteling,Operating,Vekoma,1981,51.6469,5.0536,Steel,1981-04-12,46.6,95.1,4,3.5,94000000.0
Eurostar (roller coaster),Other,,Intamin,1995,,,Steel,,50.2,,4,5.2,20000000.0
Windjammer Surf Racers,Other,Removed,TOGO,1997,33.8458,-118.0008,Steel,1997-03-26,40.0,,1,,6200000.0
Arkham Asylum – Shock Therapy,Warner Bros. Movie World,SBNO December 2019,Vekoma,1995,-27.9083,153.3119,Steel,1995-12-26,54.7,109.3,5,4.0,16000000.0
Black Diamond (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,2011,40.8797,-76.5068,Steel,2011-10-08,,,0,,2250000.0
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Operating,Bolliger & Mabillard,2001,40.1356,-74.4444,Steel,2001-04-07,80.0,,0,4.3,20000000.0
Hollywood Rip Ride Rockit,Universal Studios Florida,Operating,Maurer AG,2009,28.4749,-81.4683,Steel,2009-08-19,65.0,,0,4.18,45000000.0
Psyclone (roller coaster),Six Flags Magic Mountain,Removed,Dinn Corporation,1991,34.421,-118.6003,Wood,1991-03-23,50.0,,0,3.0,5000000.0
Eurofighter (Zoosafari Fasanolandia),Zoosafari Fasanolandia,Operating,Gerstlauer,2011,40.8303,17.3398,Steel,2011-08-06,43.5,75.5,2,,2187000.0
Scorpion (roller coaster),Busch Gardens Tampa Bay,Operating,Anton Schwarzkopf,1980,28.0375,-82.4233,Steel,1980-05-16,41.0,,1,3.5,2500000.0
Alpina Blitz,Nigloland,Operating,Mack Rides,2014,48.2617,4.6149,Steel,2014-04-12,51.6,108.3,0,4.3,8000000.0
Wicked Cyclone,Six Flags New England,Operating,Rocky Mountain Construction,2015,42.0403,-72.6156,Steel,2015-05-24,55.0,,3,,10000000.0
G Force (roller coaster),Drayton Manor Theme Park,Removed,Maurer AG,2005,52.6128,-1.7147,Other,2005-07-26,43.5,,3,4.3,2500000.0
Mumbo Jumbo (roller coaster),Flamingo Land Resort,Operating,S&S – Sansei Technologies,2009,54.209,-0.808,Steel,2009-07-04,41.0,,2,3.0,4000000.0
Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,2003,35.7063,139.7533,Steel,2003-05-01,80.8,262.5,0,4.4,37000000.0
Vogel Rok,Efteling,Operating,Vekoma,1998,51.6522,5.0525,Steel,1998-04-09,40.0,,0,3.5,12000000.0
Desperado (roller coaster),Primm Valley Resorts,Closed,Arrow Dynamics,1994,35.6142,-115.3844,Steel,1994-08-11,80.0,,0,4.0,30000000.0
Thunderbird (Holiday World),Holiday World & Splashin' Safari,Operating,Bolliger & Mabillard,2014,38.1242,-86.909,Steel,2015-04-25,60.0,,4,,22000000.0
La Vibora,Other,,Intamin,1984,,,Steel,,32.0,,0,,9000000.0
Dare Devil Dive,Six Flags Over Georgia,Operating,Gerstlauer,2011,33.7703,-84.5479,Steel,2011-05-28,52.0,,3,,9000000.0
Infusion (roller coaster),Other,,Vekoma,2007,,,Steel,,50.0,,5,4.5,8000000.0
American Eagle (roller coaster),Other,Operating,Intamin,1981,42.3646,-87.9336,Wood,1981-05-23,66.0,,0,,10000000.0
The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,,,Steel,2013-05-25,70.0,,1,,10000000.0
Tranan,Skara Sommarland,Operating,S&S – Sansei Technologies,2009,58.41,13.55,Steel,2009-05-29,24.9,,0,2.5,35000000.0
The Racer (Kings Island),Other,Operating,Philadelphia Toboggan Coasters,1972,39.3437,-84.2647,Wood,1972-04-29,53.0,,0,,1200000.0
Full Throttle (roller coaster),Six Flags Magic Mountain,Operating,Premier Rides,2013,34.4232,-118.5972,Steel,2013-06-22,70.0,,2,4.0,6000000.0
The Ultimate (roller coaster),Lightwater Valley,Closed,British Rail Engineering Limited,1991,54.1739,-1.5687,Steel,1991-07-17,50.0,,0,,5200000.0
Kentucky Rumbler,Beech Bend Park,Operating,Great Coasters International,2006,37.0225,-86.4017,Wood,2006-05-06,47.0,,0,,4600000.0
Raging Spirits,Tokyo DisneySea,Operating,Intamin,2005,35.6277,139.8808,Steel,2005-07-21,37.3,,1,,8000000000.0
Hurricane: Category 5,Myrtle Beach Pavilion,Removed,Custom Coasters International,2000,33.6918,-78.8817,Wood,2000-05-06,55.0,,0,3.0,6000000.0
Atlantica SuperSplash,Europa Park,,Mack Rides,2005,48.2622,7.7211,Other,2005-03-19,49.7,98.4,0,4.0,5000000.0
GateKeeper (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2013,41.4806,-82.679,Steel,2013-05-11,67.0,,6,4.0,30000000.0
Flying Super Saturator,Carowinds,Removed,Setpoint USA,2000,35.1027,-80.9431,Steel,2000-04-01,30.0,,0,,4000000.0
Wicker Man (roller coaster),Alton Towers,Operating,Great Coasters International,2018,52.9889,-1.8886,Wood,2018-03-20,43.6,,0,,16000000.0
Griffon (roller coaster),Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,2007,37.2344,-76.6475,Steel,2007-05-18,71.0,,2,4.0,15600000.0
Copperhead Strike,Carowinds,Operating,Mack Rides GmbH & Co KG,2019,35.1011,-80.9426,Steel,2019-03-23,50.0,,5,,26000000.0
Hell Cat,Clementon Amusement Park,Operating,S&S – Sansei Technologies,2004,39.802,-74.9847,Wood,2004-09-18,56.0,,0,,4000000.0
Rita (roller coaster),Alton Towers,Operating,Intamin,2005,52.985,-1.8905,Steel,2005-04-01,61.1,60.4,0,4.7,8000000.0
Kondaa,Walibi Belgium,Operating,Intamin,2021,50.6977,4.585,Steel,2021-05-08,70.2,,0,,25000000.0
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,Operating,Mack Rides,2002,-27.9078,153.3111,Steel,2002-06-17,27.7,55.8,0,2.4,13000000.0
Arkansas Twister,Magic Springs and Crystal Falls,Operating,Michael Black and Associates,1978,34.5213,-93.0143,Wood,1978-01-01,50.0,,0,,2300000.0
Colossus the Fire Dragon,Lagoon Amusement Park,Operating,Anton Schwarzkopf,1983,40.9836,-111.8951,Steel,1983-01-01,55.0,,2,4.9,2500000.0
Road Runner Rollercoaster,Warner Bros. Movie World,,Vekoma,2000,,,Steel,,28.5,42.7,0,,9000000.0
Iron Rattler,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2013,,,Steel,2013-05-25,70.0,,1,,10000000.0
Apollo's Chariot,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1999,37.2348,-76.6413,Steel,1999-03-30,73.0,,0,4.1,20000000.0
Speed Monster,TusenFryd,Operating,Intamin,2006,59.7482,10.777,Steel,2006-04-23,55.9,,3,4.0,7500000.0
Accelerator (roller coaster),Drayton Manor,Operating,Vekoma,2011,52.6108,-1.7134,Steel,2011-04-21,37.3,65.6,0,3.0,2100000.0
Wildfire (Silver Dollar City),Silver Dollar City,Operating,Bolliger & Mabillard,2001,36.6686,-93.3425,Steel,2001-04-04,66.0,,5,3.6,14000000.0
Montu (roller coaster),Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,1996,28.0347,-82.4175,Steel,1996-05-16,60.0,,7,3.8,20000000.0
Vortex (Carowinds),Carowinds,Operating,Bolliger & Mabillard,1992,35.1036,-80.9416,Steel,1992-03-14,50.0,,2,,5500000.0
Wicked Twister,Cedar Point,Closed,Intamin,2002,41.482,-82.6799,Steel,2002-05-05,72.0,,0,,9000000.0
Sea Serpent (Morey's Piers),Morey's Piers,Operating,Vekoma,1984,38.9858,-74.8097,Steel,1984-01-01,47.0,,3,5.2,1500000.0
Storm Runner,Hersheypark,Operating,Intamin,2004,40.2897,-76.6536,Steel,2004-05-08,75.0,,3,5.0,12500000.0
Steel Phantom,Kennywood,Operating,D. H. Morgan Manufacturing,1991,40.389,-79.866,Steel,1991-05-10,85.0,,0,3.5,4600000.0
Wonder Mountain's Guardian,Canada's Wonderland,Operating,Art Engineering,2014,43.84,-79.54,Steel,2014-05-24,,60.0,0,,10000000.0
Batman: The Dark Knight (roller coaster),Six Flags New England,Operating,Bolliger & Mabillard,2002,42.0353,-72.6131,Steel,2002-04-20,55.0,,5,,9500000.0
Ice Breaker (roller coaster),SeaWorld Orlando,Under construction,Premier Rides,2022,28.4088,-81.4633,Steel,2022-02-01,52.0,,0,,8200000.0
