Coaster_Name,Location,Status,Manufacturer,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,Speed_mph,Height_ft,Inversions,Gforce,Cost
VelociCoaster,Universal's Islands of Adventure,Operating,Intamin,2021,28.4713,-81.472,Steel,2021-06-10,70.0,,4,,
Yukon Striker,Canada's Wonderland,Operating,Bolliger & Mabillard,2019,43.8402,-79.543,Steel,2019-05-03,80.8,223.1,4,,
Valravn (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2016,41.4813,-82.684,Steel,2016-05-07,75.0,,3,,
Steel Phantom,Kennywood,Operating,D. H. Morgan Manufacturing,1991,40.389,-79.866,Steel,1991-05-10,85.0,,0,3.5,4600000.0
Steel Force,Dorney Park & Wildwater Kingdom,Operating,D. H. Morgan Manufacturing,1997,40.5789,-75.5381,Steel,1997-05-30,75.0,,0,3.4,10000000.0
SheiKra,Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,2005,28.0367,-82.4244,Steel,2005-05-21,70.0,,1,4.0,13500000.0
Superman – Ride of Steel,Other,,Intamin,1999,,,Steel,,73.0,,0,,12000000.0
X2 (roller coaster),Six Flags Magic Mountain,Operating,Arrow Dynamics,2002,34.421,-118.5929,Steel,2002-01-12,76.0,,2,4.0,45000000.0
Superman: Escape from Krypton,Other,Operating,Intamin,1997,34.425,-118.598,Steel,1997-03-15,100.0,,0,4.5,20000000.0
Griffon (roller coaster),Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,2007,37.2344,-76.6475,Steel,2007-05-18,71.0,,2,4.0,15600000.0
Iron Rattler,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2013,,,Steel,2013-05-25,70.0,,1,,10000000.0
Maverick (roller coaster),Cedar Point,Operating,Intamin,2007,41.4852,-82.6925,Steel,2007-05-26,70.0,,2,,21000000.0
Mako (roller coaster),SeaWorld Orlando,Operating,Bolliger & Mabillard,2016,28.4095,-81.4591,Steel,2016-06-10,73.0,,0,,
Expedition GeForce,"Holiday Park, Germany",Operating,Intamin,2001,49.32,8.295,Steel,2001-06-18,74.6,,0,4.5,
Orion (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2020,39.3427,-84.2627,Steel,2020-07-02,91.0,,0,,30000000.0
The Big One (roller coaster),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1994,53.7892,-3.0553,Steel,1994-05-28,74.0,,0,3.5,12000000.0
Do-Dodonpa,Fuji-Q Highland,Closed,S&S – Sansei Technologies,2001,35.4877,138.7823,Steel,2001-12-21,111.8,160.8,1,,
Stealth (roller coaster),Thorpe Park,Operating,Intamin,2006,51.405,-0.5153,Steel,2006-03-15,80.0,205.1,0,,12000000.0
Goliath (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Bolliger & Mabillard,2006,33.7692,-84.55,Steel,2006-04-01,70.0,,0,,20000000.0
Speed – The Ride,Other,,Premier Rides,2000,,,Steel,2000-04-28,70.0,,1,3.5,
Furius Baco,PortAventura Park,Operating,Intamin,2007,41.0847,1.1564,Steel,2007-06-05,83.9,,1,4.7,15000000.0
Pantheon (roller coaster),Busch Gardens Williamsburg,Under construction,Intamin,2022,37.2339,-76.6426,Steel,2022-01-01,73.0,,2,,
Wicked Twister,Cedar Point,Closed,Intamin,2002,41.482,-82.6799,Steel,2002-05-05,72.0,,0,,9000000.0
Storm Runner,Hersheypark,Operating,Intamin,2004,40.2897,-76.6536,Steel,2004-05-08,75.0,,3,5.0,12500000.0
Shambhala (roller coaster),PortAventura Park,Operating,Bolliger & Mabillard,2012,41.0847,1.1564,Other,2012-05-12,83.3,249.3,0,3.8,
Titan (Space World),Space World,Removed,Arrow Dynamics,1994,33.8748,130.8134,Steel,1994-03-05,71.5,,0,3.7,
Hypersonic XLC,Kings Dominion,Removed,S&S – Sansei Technologies,2001,37.8372,-77.446,Steel,2001-03-24,80.0,,0,4.0,15000000.0
Leviathan (Canada's Wonderland),Canada's Wonderland,Operating,Bolliger & Mabillard,2012,43.8445,-79.5424,Steel,2012-05-06,92.0,306.1,0,4.5,28000000.0
ISpeed,Mirabilandia,Operating,Intamin,2009,,,Steel,2009-05-20,74.6,,2,,15000000.0
Titan (Six Flags Over Texas),Six Flags Over Texas,Operating,Giovanola,2001,32.7556,-97.0742,Steel,2001-04-27,85.0,,0,,
Lightning Rod (roller coaster),Dollywood,Operating,Rocky Mountain Construction,2016,,,Steel,2016-06-13,73.0,,0,3.5,22000000.0
Eejanaika (roller coaster),Fuji-Q Highland,Operating,S&S Arrow,2006,35.4884,138.7808,Steel,2006-07-19,78.3,,3,,3500000000.0
Mr. Freeze (roller coaster),Other,,Premier Rides,1998,,,Steel,,70.0,,2,4.0,10000000.0
The Rattler (roller coaster),Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,1992,,,Steel,2013-05-25,70.0,,1,,10000000.0
Taron (roller coaster),Phantasialand,Operating,Intamin,2016,50.7996,6.8828,Steel,2016-06-30,72.7,98.4,0,,
Red Force (roller coaster),Ferrari Land,Operating,Intamin,2017,,,Steel,2017-04-07,111.8,367.5,0,,
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Giovanola,2000,34.4269,-118.5969,Steel,2000-02-11,85.0,,0,,30000000.0
Wildfire (Kolmården Wildlife Park),Kolmården Wildlife Park,Operating,Rocky Mountain Construction,2016,58.6653,16.4664,Wood,2016-06-28,71.5,183.7,3,4.0,110000000.0
Fury 325,Carowinds,Operating,Bolliger & Mabillard,2015,35.1055,-80.9425,Steel,2015-03-28,95.0,,0,,30000000.0
Steel Dragon 2000,Nagashima Spa Land,Operating,D. H. Morgan Manufacturing,2000,35.0312,136.7301,Steel,2000-08-01,95.0,318.2,0,,52000000.0
Phantom's Revenge,Kennywood,Operating,D. H. Morgan Manufacturing,2001,40.389,-79.866,Steel,1991-05-10,85.0,,0,3.5,4600000.0
Top Thrill Dragster,Cedar Point,Closed,Intamin,2003,41.484,-82.6862,Steel,2003-05-04,120.0,,0,,25000000.0
Vertical Velocity (roller coaster),Six Flags Great America,Temporarily closed,Intamin,2001,42.3679,-87.9324,Steel,2001-05-18,70.0,,0,,
Skyrush,Hersheypark,Operating,Intamin,2012,,,Steel,2012-05-26,75.0,,0,5.0,25000000.0
Fujiyama (roller coaster),Fuji-Q Highland,Operating,TOGO,1996,35.4859,138.777,Steel,1996-07-01,81.0,,0,3.5,40000000.0
Diamondback (Kings Island),Kings Island,Operating,Bolliger & Mabillard,2009,39.3421,-84.2674,Other,2009-04-18,80.0,,0,4.2,22000000.0
Iron Gwazi,Busch Gardens Tampa Bay,Under construction,Rocky Mountain Construction,1999,28.0339,-82.4231,Steel,,76.0,,2,,
Magnum XL-200,Cedar Point,Operating,Arrow Dynamics,1989,41.4853,-82.6861,Steel,1989-05-06,72.0,,0,,8000000.0
Apollo's Chariot,Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,1999,37.2348,-76.6413,Steel,1999-03-30,73.0,,0,4.1,20000000.0
Superman The Ride,Six Flags New England,Operating,Intamin,2000,42.0386,-72.6114,Steel,2000-05-05,77.0,,0,3.6,
Intimidator (roller coaster),Carowinds,Operating,Bolliger & Mabillard,2010,35.1031,-80.9394,Steel,2010-03-27,75.0,,0,4.3,23000000.0
DC Rivals HyperCoaster,Warner Bros. Movie World,Operating,Mack Rides,2017,-27.908,153.314,Steel,2017-09-22,71.5,202.1,0,4.3,30000000.0
Intimidator 305,Kings Dominion,Operating,Intamin,2010,37.8375,-77.4397,Steel,2010-04-02,90.0,,0,,25000000.0
Candymonium,Hersheypark,Operating,Bolliger & Mabillard,2020,40.2863,-76.659,Steel,2020-07-03,76.0,,0,,
Flying Aces (roller coaster),Ferrari World Abu Dhabi,Operating,Intamin,2016,,,Steel,2016-02-24,74.6,206.7,1,5.0,
Xcelerator,Knott's Berry Farm,Operating,Intamin,2002,33.8458,-118.0008,Steel,2002-06-22,82.0,,0,,13000000.0
Full Throttle (roller coaster),Six Flags Magic Mountain,Operating,Premier Rides,2013,34.4232,-118.5972,Steel,2013-06-22,70.0,,2,4.0,6000000.0
El Toro (Six Flags Great Adventure),Six Flags Great Adventure,Closed,Intamin,2006,40.1389,-74.4346,Wood,2006-06-12,70.0,,0,,
